ID,Xcor,Ycor
112180,1826,1596
150411,5172,1919
159371,6412,2006
175660,3590,2174
208655,3586,2547
214729,1864,2624
238668,8398,2856
271927,5179,3193
281175,1143,3299
372885,4819,4542
388118,7826,4714
409181,2680,4939
414465,4667,5001
415192,2391,5010
433337,5855,5233
436587,8728,5270
440812,6041,5319
484699,3576,5844
485924,8895,5856
518682,7668,6268
532654,3805,6447
597735,8051,7248
628421,5922,7603
643194,5088,7761
670741,5151,8037
725619,3442,8574
794540,5659,9220
807859,2874,9331
858184,4475,9795
884339,3422,10096
