ID,Ai,xi,yi,A,x0,y0,sigma_x,sigma_y,theta,r2
7873.0,2357.61669921875,4702.0,540.0,0.8686857747409092,4701.741504053256,540.711521746881,1.5898171237699497,1.717300544009751,1.4881106712891279,-0.04529765740419603
12547.0,987.62158203125,3284.0,633.0,0.8031731922185341,3283.582630964163,633.3020881114514,2.0310043292549786,1.589943659144836,-0.5970828843403736,-0.32125125195682114
13066.0,3535.37109375,4497.0,642.0,0.810296245651173,4497.611956993117,642.1603005183388,1.6046327414500434,1.4810468554078329,-0.21227252075026984,-3.5371563456450588
23114.0,1189.5299072265625,4083.0,770.0,0.9268855162182988,4082.361296735376,770.063999495993,1.1351929803743503,1.1487668635496364,0.4508735609221216,-0.35103246790676007
23342.0,1122.4908447265625,5890.0,783.0,0.9938787740958456,5890.729878262428,782.1716561961487,1.579409178010355,1.6674363295137609,0.07930734283272554,0.04110626736345191
34410.0,972.8313598632812,5962.0,898.0,0.877130992232669,5962.05489865989,898.5618122175379,1.624538904648107,1.500925573061021,0.03565803830900802,0.04430907137034371
41545.0,986.8504028320312,5903.0,966.0,0.9250757537862683,5903.311010922943,965.7188762301093,1.6199396274987754,1.59588500453906,0.38300204370340907,-0.15600157057728825
41285.0,5857.01611328125,4216.0,964.0,0.8697660028964194,4215.983803119221,964.2828978631765,1.5005892651791828,1.5735077037389644,7.386534307762099,-0.5238338296638302
45413.0,976.700927734375,4975.0,1003.0,0.8718898117872236,4975.078626121232,1003.3688195345725,1.7016616763629944,1.5554861677508875,-0.2020100492359099,-4.786498552817995
52218.0,1720.0545654296875,3559.0,1067.0,0.9891163683854801,3559.527660854871,1067.4539094961106,1.5364698672763557,1.4643577157293632,-0.5018492994920465,-2.27773699819836
57124.0,1607.6163330078125,3980.0,1114.0,0.8876280535785717,3979.569340456103,1114.2757064797872,1.5359545009779665,1.4969334279946487,-0.35435910761353756,-0.6967473148812247
57307.0,959.561279296875,3041.0,1116.0,0.8454591449486575,3040.864143519148,1116.6366091615444,1.6320581485181267,1.5543309026837893,2.402597645267266,-7.549277788959417
59517.0,1763.46337890625,5266.0,1137.0,0.8032714690899206,5265.884712115943,1136.9243950027837,1.6483722790421274,1.5254924672352614,-0.18165422129218467,-3.7011675939960678
62831.0,1684.281982421875,2848.0,1171.0,0.9440734457703445,2848.0609061863815,1170.926335293193,1.559465464863663,1.516350912962177,0.15852713425825485,-0.9337213848846758
67202.0,1494.2757568359375,5354.0,1213.0,0.87299320846986,5354.296917270389,1213.0920892814945,1.5771699926017673,1.5134578943258117,-0.06672542297762016,-3.161371332195051
68127.0,5844.2353515625,3633.0,1222.0,0.8884847116853409,3633.0616465001517,1222.1996589863213,1.4879325837587207,1.547319370432641,-2.0944559437246806,-0.44106916415640546
70522.0,3034.6708984375,3186.0,1248.0,0.9137809720581386,3185.805154013746,1247.3343649425792,1.5379504622644193,1.60174115997481,0.8044653672085506,-35.126470300646595
73869.0,3325.598388671875,3982.0,1279.0,0.8812102373574362,3981.9692729985095,1278.6012604549442,1.4536801439913947,1.5137810360375539,1.232718321383096,-0.3376416336056101
74842.0,1475.2877197265625,7252.0,1288.0,0.846843214029264,7252.325837326759,1287.7531268304933,1.5892313851764854,1.5272013599810905,0.04224972616047033,-2.3034021449877815
84103.0,1495.8348388671875,6676.0,1370.0,0.9659244526415282,6675.719948085841,1370.452514639842,1.5824101865684712,1.5235780944381325,-0.13637507571553967,-1.2094313669174839
85595.0,2796.011474609375,6028.0,1383.0,0.8688783408084741,6028.119765102086,1383.3103461339574,1.5632121330762694,1.505516218961314,-0.1525327069229543,-1.2828212367849823
85457.0,2795.36279296875,3669.0,1382.0,0.9761796819015822,3669.2880830216063,1381.9670945857022,1.5024840964527264,1.5475110337077391,0.7020812438938233,-1.8098584413086045
88988.0,1936.1875,6066.0,1412.0,0.9264365418251407,6065.932699822635,1412.573658920221,1.5811955169615173,1.536417128130435,-0.007790650573881721,-2.34723813819309
92163.0,3382.5146484375,8116.0,1439.0,0.9546532666400744,8115.478308260809,1438.7005897997985,1.4277446393244457,1.55408388827689,-0.6931943104714122,-2.528140487077577
94177.0,1761.70556640625,6798.0,1455.0,0.9313804263700887,6798.268756035314,1454.7489901386352,1.5562603133312456,1.524329350748283,-0.05190940243331875,-0.3604357813711818
94734.0,1971.735595703125,3145.0,1460.0,0.8602060465819803,3144.826443137404,1459.7399870295244,1.6525651436044637,1.6245973986124014,-0.6710488072888673,-54.09094240440504
95763.0,4824.37939453125,6656.0,1468.0,0.9232790343199495,6655.657205332773,1468.2083054129603,1.5719914456505462,1.536281025211484,-0.045181518338481365,-16.05599023794453
102852.0,1670.77392578125,4331.0,1523.0,0.9444442034730232,4330.922587438065,1522.789967493448,1.4890537590740311,1.5243035791540396,-2.0190452601405733,0.05803809305225275
109469.0,991.4955444335938,5621.0,1575.0,0.9445965324725306,5620.773208969179,1575.3377382002695,1.4970935542368,1.4857505487100933,-0.10031473907398142,0.15917501545057242
111715.0,1324.284423828125,6149.0,1592.0,0.9033395042202653,6149.349179647855,1591.6569044122796,1.5072738400035697,1.5356645249650196,1.2620443514514639,-1.3354164972657594
113534.0,2985.525146484375,2856.0,1606.0,0.8668015293583483,2855.9734796069956,1605.6862533494473,1.5409284560049805,1.5734883118050402,-3.981116223009514,-1.8052863317842802
119856.0,1200.251220703125,6697.0,1653.0,0.958316294297059,6697.377574019399,1653.4954936685021,1.53990071590317,1.5190451231819868,0.2560188418828432,-0.3802421916300966
